iter,train_loss,val_loss,learning_rate,its_per_sec
1,,1.985,,
10,1.685,,0.0001,1.989
20,0.919,,0.0001,2.335
30,0.736,,0.0001,2.63
40,0.843,,0.0001,2.843
50,0.834,,0.0001,2.939
60,0.932,,0.0001,2.458
70,0.868,,0.0001,2.359
80,0.891,,0.0001,2.145
90,0.854,,0.0001,1.854
100,,0.892,,
100,1.025,,0.0001,2.227
110,0.705,,0.0001,2.211
120,0.857,,0.0001,1.846
130,0.95,,0.0001,2.18
140,0.958,,0.0001,2.233
150,1.015,,0.0001,2.439
160,0.856,,0.0001,2.593
170,0.822,,0.0001,2.277
180,0.806,,0.0001,2.148
190,0.844,,0.0001,2.427
200,,0.817,,
200,0.692,,0.0001,1.761
210,0.643,,0.0001,2.013
220,0.914,,0.0001,2.609
230,1.019,,0.0001,1.934
240,1.042,,0.0001,2.151
250,,0.953,,
250,0.984,,0.0001,1.79
